config_id,scenario_name,seed,profiles_party_a,profiles_party_b,profiles_mediator,status,ledger_turn,deadlock_count,agreed_n,open_issues_n,hitl_interventions,mock_backend,trace_json
Cfg1_AllCooperative,USA-Iran Quick Talks (2 issues),1281338302,cooperative,cooperative,cooperative,settled,4,0,2,0,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 1, ""open_issues_n"": 1}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""settled"", ""deadlock_count"": 0, ""agreed_n"": 2, ""open_issues_n"": 0}]"
Cfg1_AllCooperative,USA-Iran Quick Talks (2 issues),1783604396,cooperative,cooperative,cooperative,settled,4,0,2,0,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 1, ""open_issues_n"": 1}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""settled"", ""deadlock_count"": 0, ""agreed_n"": 2, ""open_issues_n"": 0}]"
Cfg1_AllCooperative,USA-Iran Quick Talks (2 issues),1172627374,cooperative,cooperative,cooperative,settled,4,0,2,0,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 1, ""open_issues_n"": 1}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""settled"", ""deadlock_count"": 0, ""agreed_n"": 2, ""open_issues_n"": 0}]"
Cfg1_AllCooperative,USA-Iran Quick Talks (2 issues),1774232354,cooperative,cooperative,cooperative,settled,4,0,2,0,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 1, ""open_issues_n"": 1}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""settled"", ""deadlock_count"": 0, ""agreed_n"": 2, ""open_issues_n"": 0}]"
Cfg1_AllCooperative,USA-Iran Nuclear (4 issues),2068057498,cooperative,cooperative,cooperative,settled,6,0,3,1,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 1, ""open_issues_n"": 2}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 2, ""open_issues_n"": 1}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn3"", ""ledger_turn"": 6, ""status"": ""settled"", ""deadlock_count"": 0, ""agreed_n"": 3, ""open_issues_n"": 1}]"
Cfg1_AllCooperative,USA-Iran Nuclear (4 issues),1457080476,cooperative,cooperative,cooperative,settled,6,0,3,1,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 1, ""open_issues_n"": 2}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 2, ""open_issues_n"": 1}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn3"", ""ledger_turn"": 6, ""status"": ""settled"", ""deadlock_count"": 0, ""agreed_n"": 3, ""open_issues_n"": 1}]"
Cfg1_AllCooperative,USA-Iran Nuclear (4 issues),1959346570,cooperative,cooperative,cooperative,settled,6,0,3,1,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 1, ""open_issues_n"": 2}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 2, ""open_issues_n"": 1}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn3"", ""ledger_turn"": 6, ""status"": ""settled"", ""deadlock_count"": 0, ""agreed_n"": 3, ""open_issues_n"": 1}]"
Cfg1_AllCooperative,USA-Iran Nuclear (4 issues),1447708434,cooperative,cooperative,cooperative,failed,10,0,0,4,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 0, ""open_issues_n"": 4}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 0, ""open_issues_n"": 4}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn3"", ""ledger_turn"": 6, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 0, ""open_issues_n"": 4}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn4"", ""ledger_turn"": 8, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 0, ""open_issues_n"": 4}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn5"", ""ledger_turn"": 10, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 0, ""open_issues_n"": 4}]"
Cfg1_AllCooperative,TechCorp Acquisition (4 issues),684221864,cooperative,cooperative,cooperative,settled,8,0,4,1,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 1, ""open_issues_n"": 3}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 2, ""open_issues_n"": 2}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn3"", ""ledger_turn"": 6, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 3, ""open_issues_n"": 1}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn4"", ""ledger_turn"": 8, ""status"": ""settled"", ""deadlock_count"": 0, ""agreed_n"": 4, ""open_issues_n"": 1}]"
Cfg1_AllCooperative,TechCorp Acquisition (4 issues),73244842,cooperative,cooperative,cooperative,failed,10,0,0,4,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 0, ""open_issues_n"": 4}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 0, ""open_issues_n"": 4}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn3"", ""ledger_turn"": 6, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 0, ""open_issues_n"": 4}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn4"", ""ledger_turn"": 8, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 0, ""open_issues_n"": 4}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn5"", ""ledger_turn"": 10, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 0, ""open_issues_n"": 4}]"
Cfg1_AllCooperative,TechCorp Acquisition (4 issues),575510936,cooperative,cooperative,cooperative,settled,8,0,4,1,0,True,"[{""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn1"", ""ledger_turn"": 2, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 1, ""open_issues_n"": 3}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn2"", ""ledger_turn"": 4, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 2, ""open_issues_n"": 2}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn3"", ""ledger_turn"": 6, ""status"": ""in_progress"", ""deadlock_count"": 0, ""agreed_n"": 3, ""open_issues_n"": 1}, {""type"": ""ledger_snapshot"", ""label"": ""after_mediator_turn4"", ""ledger_turn"": 8, ""status"": ""settled"", ""deadlock_count"": 0, ""agreed_n"": 4, ""open_issues_n"": 1}]"
